,split,dataset_type,length
78,train,ailab17k,1610
79,train,ailab17k,1831
80,train,ailab17k,1094
81,train,ailab17k,1013
82,train,ailab17k,985
83,train,ailab17k,1197
84,train,ailab17k,1200
85,train,ailab17k,4297
86,train,ailab17k,1090
87,train,ailab17k,919
88,train,ailab17k,613
89,train,ailab17k,1614
90,train,ailab17k,1996
91,train,ailab17k,916
92,train,ailab17k,1169
93,train,ailab17k,2241
94,train,ailab17k,2108
95,train,ailab17k,1324
96,train,ailab17k,1346
97,train,ailab17k,1085
98,train,ailab17k,239
99,train,ailab17k,1177
100,train,ailab17k,2260
101,train,ailab17k,1166
102,train,ailab17k,380
103,train,ailab17k,1586
104,train,ailab17k,1825
105,train,ailab17k,1081
106,train,ailab17k,1222
107,train,ailab17k,3394
108,train,ailab17k,2357
109,train,ailab17k,2954
110,train,ailab17k,1607
111,train,ailab17k,164
112,train,ailab17k,3643
113,train,ailab17k,126
114,train,ailab17k,4011
115,train,ailab17k,2339
116,train,ailab17k,2423
117,train,ailab17k,1846
118,train,ailab17k,589
119,train,ailab17k,2263
120,train,ailab17k,1217
121,train,ailab17k,1429
122,train,ailab17k,1241
123,train,ailab17k,1697
124,train,ailab17k,1778
125,train,ailab17k,950
126,train,ailab17k,2160
127,train,ailab17k,1185
128,train,ailab17k,1462
129,train,ailab17k,1016
130,train,ailab17k,1536
131,train,ailab17k,911
132,train,ailab17k,327
133,train,ailab17k,520
134,train,ailab17k,1559
135,train,ailab17k,1349
136,train,ailab17k,1240
137,train,ailab17k,1608
138,train,ailab17k,350
139,train,ailab17k,1635
140,train,ailab17k,1497
141,train,ailab17k,1734
142,train,ailab17k,2129
143,train,ailab17k,1743
144,train,ailab17k,1569
145,train,ailab17k,1931
146,train,ailab17k,1702
147,train,ailab17k,2109
148,train,ailab17k,600
149,train,ailab17k,1813
150,train,ailab17k,1477
151,train,ailab17k,1581
152,train,ailab17k,1927
153,train,ailab17k,1001
154,train,ailab17k,1815
155,train,ailab17k,1984
156,train,ailab17k,1022
157,train,ailab17k,1997
158,train,ailab17k,1448
159,train,ailab17k,268
160,train,ailab17k,788
161,train,ailab17k,1640
162,train,ailab17k,1695
163,train,ailab17k,1148
164,train,ailab17k,1019
165,train,ailab17k,1742
166,train,ailab17k,1708
167,train,ailab17k,1562
168,train,ailab17k,1470
169,train,ailab17k,1375
170,train,ailab17k,1672
171,train,ailab17k,2119
172,train,ailab17k,1007
173,train,ailab17k,240
174,train,ailab17k,2393
175,train,ailab17k,1109
176,train,ailab17k,1382
177,train,ailab17k,1901
178,train,ailab17k,1741
179,train,ailab17k,2154
180,train,ailab17k,1513
181,train,ailab17k,1596
182,train,ailab17k,2021
183,train,ailab17k,2023
184,train,ailab17k,1760
185,train,ailab17k,1812
186,train,ailab17k,4125
187,train,ailab17k,1849
188,train,ailab17k,1043
189,train,ailab17k,1507
190,train,ailab17k,2148
191,train,ailab17k,2330
192,train,ailab17k,552
193,train,ailab17k,1905
194,train,ailab17k,1674
195,train,ailab17k,1354
196,train,ailab17k,2237
197,train,ailab17k,2059
198,train,ailab17k,2331
199,train,ailab17k,1339
200,train,ailab17k,1788
201,train,ailab17k,2123
202,train,ailab17k,2558
203,train,ailab17k,2492
204,train,ailab17k,1847
205,train,ailab17k,1999
206,train,ailab17k,2180
207,train,ailab17k,435
208,train,ailab17k,1409
209,train,ailab17k,544
210,train,ailab17k,977
211,train,ailab17k,1660
212,train,ailab17k,1283
213,train,ailab17k,1447
214,train,ailab17k,2018
215,train,ailab17k,1517
216,train,ailab17k,962
217,train,ailab17k,1967
218,train,ailab17k,1624
219,train,ailab17k,661
220,train,ailab17k,866
221,train,ailab17k,1885
222,train,ailab17k,1609
223,train,ailab17k,2007
224,train,ailab17k,1274
225,train,ailab17k,1268
226,train,ailab17k,1071
227,train,ailab17k,2063
228,train,ailab17k,2046
229,train,ailab17k,138
230,train,ailab17k,913
231,train,ailab17k,1478
232,train,ailab17k,2113
233,train,ailab17k,642
234,train,ailab17k,1253
235,train,ailab17k,1372
236,train,ailab17k,2372
237,train,ailab17k,2169
238,train,ailab17k,843
239,train,ailab17k,1722
240,train,ailab17k,1187
241,train,ailab17k,1972
242,train,ailab17k,1764
243,train,ailab17k,1871
244,train,ailab17k,2546
245,train,ailab17k,1246
246,train,ailab17k,1895
247,train,ailab17k,2188
248,train,ailab17k,1438
249,train,ailab17k,499
250,train,ailab17k,1938
251,train,ailab17k,3175
252,train,ailab17k,1612
253,train,ailab17k,2761
254,train,ailab17k,715
255,train,ailab17k,860
256,train,ailab17k,2107
257,train,ailab17k,1548
258,train,ailab17k,1472
259,train,ailab17k,1346
260,train,ailab17k,1549
261,train,ailab17k,1801
262,train,ailab17k,1192
263,train,ailab17k,2213
264,train,ailab17k,1137
265,train,ailab17k,1064
266,train,ailab17k,1271
267,train,ailab17k,1167
268,train,ailab17k,1630
269,train,ailab17k,1070
270,train,ailab17k,1623
271,train,ailab17k,1719
272,train,ailab17k,3061
273,train,ailab17k,1268
274,train,ailab17k,1987
275,train,ailab17k,851
276,train,ailab17k,1406
277,train,ailab17k,1682
278,train,ailab17k,1693
279,train,ailab17k,1532
280,train,ailab17k,1633
281,train,ailab17k,1424
282,train,ailab17k,1952
283,train,ailab17k,1771
284,train,ailab17k,1477
285,train,ailab17k,1708
286,train,ailab17k,1207
287,train,ailab17k,907
288,train,ailab17k,1133
289,train,ailab17k,1165
290,train,ailab17k,813
291,train,ailab17k,2141
292,train,ailab17k,2024
293,train,ailab17k,1480
294,train,ailab17k,1621
295,train,ailab17k,1838
296,train,ailab17k,1140
297,train,ailab17k,2449
298,train,ailab17k,2233
299,train,ailab17k,1355
300,train,ailab17k,1302
301,train,ailab17k,1498
302,train,ailab17k,209
303,train,ailab17k,1111
304,train,ailab17k,1685
305,train,ailab17k,2161
306,train,ailab17k,2815
307,train,ailab17k,1524
308,train,ailab17k,2298
309,train,ailab17k,1731
310,train,ailab17k,1783
311,train,ailab17k,1754
312,train,ailab17k,1501
313,train,ailab17k,1493
314,train,ailab17k,1750
315,train,ailab17k,1249
316,train,ailab17k,1896
317,train,ailab17k,151
318,train,ailab17k,2162
319,train,ailab17k,862
320,train,ailab17k,1667
321,train,ailab17k,2312
322,train,ailab17k,2499
323,train,ailab17k,2688
324,train,ailab17k,2549
325,train,ailab17k,2830
326,train,ailab17k,1507
327,train,ailab17k,1175
328,train,ailab17k,447
329,train,ailab17k,1498
330,train,ailab17k,334
331,train,ailab17k,2004
332,train,ailab17k,1941
333,train,ailab17k,1496
334,train,ailab17k,1312
335,train,ailab17k,1435
336,train,ailab17k,265
337,train,ailab17k,1638
338,train,ailab17k,917
339,train,ailab17k,1803
340,train,ailab17k,1086
341,train,ailab17k,1510
342,train,ailab17k,1219
343,train,ailab17k,2025
344,train,ailab17k,875
345,train,ailab17k,1478
346,train,ailab17k,1039
347,train,ailab17k,1025
348,train,ailab17k,2119
349,train,ailab17k,1872
350,train,ailab17k,1461
351,train,ailab17k,1028
352,train,ailab17k,1621
353,train,ailab17k,2554
354,train,ailab17k,1672
355,train,ailab17k,1195
356,train,ailab17k,2358
357,train,ailab17k,1840
358,train,ailab17k,1457
359,train,ailab17k,1434
360,train,ailab17k,1670
361,train,ailab17k,1682
362,train,ailab17k,2561
363,train,ailab17k,1569
364,train,ailab17k,1058
365,train,ailab17k,1511
366,train,ailab17k,2178
367,train,ailab17k,2061
368,train,ailab17k,941
369,train,ailab17k,1786
370,train,ailab17k,1980
371,train,ailab17k,1224
372,train,ailab17k,1359
373,train,ailab17k,2020
374,train,ailab17k,1279
375,train,ailab17k,2154
376,train,ailab17k,1573
377,train,ailab17k,2161
378,train,ailab17k,1981
379,train,ailab17k,1409
380,train,ailab17k,1119
381,train,ailab17k,1837
382,train,ailab17k,1400
383,train,ailab17k,1429
384,train,ailab17k,2229
385,train,ailab17k,1356
386,train,ailab17k,1464
387,train,ailab17k,2190
388,train,ailab17k,544
389,train,ailab17k,1509
390,train,ailab17k,1196
391,train,ailab17k,1575
392,train,ailab17k,2266
393,train,ailab17k,2824
394,train,ailab17k,2533
395,train,ailab17k,1256
396,train,ailab17k,144
397,train,ailab17k,1331
398,train,ailab17k,1207
399,train,ailab17k,1736
400,train,ailab17k,1546
401,train,ailab17k,1096
402,train,ailab17k,1716
403,train,ailab17k,1082
404,train,ailab17k,4049
405,train,ailab17k,721
406,train,ailab17k,682
407,train,ailab17k,1707
408,train,ailab17k,2219
409,train,ailab17k,1213
410,train,ailab17k,1838
411,train,ailab17k,1833
412,train,ailab17k,1728
413,train,ailab17k,1766
414,train,ailab17k,212
415,train,ailab17k,1445
416,train,ailab17k,693
417,train,ailab17k,2177
418,train,ailab17k,1911
419,train,ailab17k,1609
420,train,ailab17k,463
421,train,ailab17k,1854
422,train,ailab17k,2248
423,train,ailab17k,1600
424,train,ailab17k,1465
425,train,ailab17k,2693
426,train,ailab17k,1609
427,train,ailab17k,1614
428,train,ailab17k,1589
429,train,ailab17k,836
430,train,ailab17k,1461
431,train,ailab17k,1947
432,train,ailab17k,2763
433,train,ailab17k,1743
434,train,ailab17k,2063
435,train,ailab17k,1030
436,train,ailab17k,1886
437,train,ailab17k,1664
438,train,ailab17k,1593
439,train,ailab17k,1968
440,train,ailab17k,1498
441,train,ailab17k,1726
442,train,ailab17k,2523
443,train,ailab17k,2837
444,train,ailab17k,897
445,train,ailab17k,1900
446,train,ailab17k,1480
447,train,ailab17k,2389
448,train,ailab17k,2235
449,train,ailab17k,2065
450,train,ailab17k,1721
451,train,ailab17k,1127
452,train,ailab17k,2569
453,train,ailab17k,380
454,train,ailab17k,1246
455,train,ailab17k,744
456,train,ailab17k,2072
457,train,ailab17k,1408
458,train,ailab17k,2093
459,train,ailab17k,2180
460,train,ailab17k,463
461,train,ailab17k,2084
462,train,ailab17k,2046
463,train,ailab17k,2852
464,train,ailab17k,2263
465,train,ailab17k,3422
466,train,ailab17k,1786
467,train,ailab17k,1422
468,train,ailab17k,1819
469,train,ailab17k,2187
470,train,ailab17k,1382
471,train,ailab17k,1580
472,train,ailab17k,1387
473,train,ailab17k,2062
474,train,ailab17k,1575
475,train,ailab17k,1085
476,train,ailab17k,1537
477,train,ailab17k,988
478,train,ailab17k,1219
479,train,ailab17k,1715
480,train,ailab17k,1832
481,train,ailab17k,2046
482,train,ailab17k,2236
483,train,ailab17k,1271
484,train,ailab17k,1308
485,train,ailab17k,922
486,train,ailab17k,314
487,train,ailab17k,1295
488,train,ailab17k,2724
489,train,ailab17k,1334
490,train,ailab17k,423
491,train,ailab17k,1708
492,train,ailab17k,1256
493,train,ailab17k,1557
494,train,ailab17k,1637
495,train,ailab17k,934
496,train,ailab17k,1374
497,train,ailab17k,1560
498,train,ailab17k,1449
499,train,ailab17k,2071
500,train,ailab17k,1222
501,train,ailab17k,1898
502,train,ailab17k,845
503,train,ailab17k,2012
504,train,ailab17k,2218
505,train,ailab17k,1814
506,train,ailab17k,2014
507,train,ailab17k,2041
508,train,ailab17k,1416
509,train,ailab17k,2120
510,train,ailab17k,445
511,train,ailab17k,1129
512,train,ailab17k,1642
513,train,ailab17k,284
514,train,ailab17k,1251
515,train,ailab17k,1986
516,train,ailab17k,1194
517,train,ailab17k,2388
518,train,ailab17k,2828
519,train,ailab17k,2090
520,train,ailab17k,1063
521,train,ailab17k,2849
522,train,ailab17k,1554
523,train,ailab17k,1980
524,train,ailab17k,2128
525,train,ailab17k,1796
526,train,ailab17k,1497
527,train,ailab17k,1427
528,train,ailab17k,559
529,train,ailab17k,966
530,train,ailab17k,1544
531,train,ailab17k,1472
532,train,ailab17k,1661
533,train,ailab17k,1690
534,train,ailab17k,2119
535,train,ailab17k,449
536,train,ailab17k,1118
537,train,ailab17k,610
538,train,ailab17k,1056
539,train,ailab17k,1612
540,train,ailab17k,1968
541,train,ailab17k,141
542,train,ailab17k,3752
543,train,ailab17k,1570
544,train,ailab17k,1184
545,train,ailab17k,1594
546,train,ailab17k,1520
547,train,ailab17k,1720
548,train,ailab17k,2521
549,train,ailab17k,2592
550,train,ailab17k,2234
551,train,ailab17k,2063
552,train,ailab17k,2450
553,train,ailab17k,983
554,train,ailab17k,1626
555,train,ailab17k,402
556,train,ailab17k,2521
557,train,ailab17k,2251
558,train,ailab17k,3372
559,train,ailab17k,996
560,train,ailab17k,1314
561,train,ailab17k,1907
562,train,ailab17k,982
563,train,ailab17k,987
564,train,ailab17k,1835
565,train,ailab17k,1075
566,train,ailab17k,908
567,train,ailab17k,2074
568,train,ailab17k,2084
569,train,ailab17k,1019
570,train,ailab17k,1250
571,train,ailab17k,1371
572,train,ailab17k,2566
573,train,ailab17k,1938
574,train,ailab17k,2113
575,train,ailab17k,1047
576,train,ailab17k,1545
577,train,ailab17k,1920
578,train,ailab17k,2547
579,train,ailab17k,475
580,train,ailab17k,2047
581,train,ailab17k,1628
582,train,ailab17k,956
583,train,ailab17k,1377
584,train,ailab17k,1303
585,train,ailab17k,1959
586,train,ailab17k,2194
587,train,ailab17k,451
588,train,ailab17k,2040
589,train,ailab17k,2358
590,train,ailab17k,2029
591,train,ailab17k,2378
592,train,ailab17k,285
593,train,ailab17k,2607
594,train,ailab17k,1414
595,train,ailab17k,1896
596,train,ailab17k,1005
597,train,ailab17k,1628
598,train,ailab17k,1607
599,train,ailab17k,1533
600,train,ailab17k,869
601,train,ailab17k,1208
602,train,ailab17k,2074
603,train,ailab17k,300
604,train,ailab17k,3208
605,train,ailab17k,1384
606,train,ailab17k,2132
607,train,ailab17k,1990
608,train,ailab17k,1719
609,train,ailab17k,1962
610,train,ailab17k,2014
611,train,ailab17k,1066
612,train,ailab17k,2849
613,train,ailab17k,1927
614,train,ailab17k,2408
615,train,ailab17k,2777
616,train,ailab17k,2395
617,train,ailab17k,4780
618,train,ailab17k,1497
619,train,ailab17k,1698
620,train,ailab17k,1971
621,train,ailab17k,1629
622,train,ailab17k,1437
623,train,ailab17k,1353
624,train,ailab17k,177
625,train,ailab17k,1044
626,train,ailab17k,1685
627,train,ailab17k,1165
628,train,ailab17k,1479
629,train,ailab17k,938
630,train,ailab17k,1355
631,train,ailab17k,2126
632,train,ailab17k,1573
633,train,ailab17k,1370
634,train,ailab17k,2173
635,train,ailab17k,1910
636,train,ailab17k,1990
637,train,ailab17k,1518
638,train,ailab17k,2197
639,train,ailab17k,1545
640,train,ailab17k,1492
641,train,ailab17k,2605
642,train,ailab17k,2446
643,train,ailab17k,1206
644,train,ailab17k,1401
645,train,ailab17k,1929
646,train,ailab17k,1166
647,train,ailab17k,1494
648,train,ailab17k,2506
649,train,ailab17k,1512
650,train,ailab17k,1077
651,train,ailab17k,1805
652,train,ailab17k,2944
653,train,ailab17k,1625
654,train,ailab17k,1321
655,train,ailab17k,1830
656,train,ailab17k,1220
657,train,ailab17k,421
658,train,ailab17k,1234
659,train,ailab17k,2560
660,train,ailab17k,904
661,train,ailab17k,1033
662,train,ailab17k,1366
663,train,ailab17k,918
664,train,ailab17k,1760
665,train,ailab17k,1409
666,train,ailab17k,1949
667,train,ailab17k,2822
668,train,ailab17k,1447
669,train,ailab17k,1408
670,train,ailab17k,1131
671,train,ailab17k,1638
672,train,ailab17k,1923
673,train,ailab17k,2215
674,train,ailab17k,1744
675,train,ailab17k,2509
676,train,ailab17k,2109
677,train,ailab17k,776
678,train,ailab17k,2076
679,train,ailab17k,1387
680,train,ailab17k,1246
681,train,ailab17k,1434
682,train,ailab17k,1823
683,train,ailab17k,600
684,train,ailab17k,741
685,train,ailab17k,1268
686,train,ailab17k,1248
687,train,ailab17k,2137
688,train,ailab17k,1266
689,train,ailab17k,1518
690,train,ailab17k,1511
691,train,ailab17k,949
692,train,ailab17k,1904
693,train,ailab17k,1435
694,train,ailab17k,1608
695,train,ailab17k,1427
696,train,ailab17k,2772
697,train,ailab17k,228
698,train,ailab17k,1232
699,train,ailab17k,1693
700,train,ailab17k,133
701,train,ailab17k,1509
702,train,ailab17k,1905
703,train,ailab17k,1442
704,train,ailab17k,2052
705,train,ailab17k,1751
706,train,ailab17k,1990
707,train,ailab17k,1231
708,train,ailab17k,2482
709,train,ailab17k,1073
710,train,ailab17k,1209
711,train,ailab17k,402
712,train,ailab17k,2708
713,train,ailab17k,2056
714,train,ailab17k,2392
715,train,ailab17k,3134
716,train,ailab17k,2408
717,train,ailab17k,356
718,train,ailab17k,2458
719,train,ailab17k,1480
720,train,ailab17k,1788
721,train,ailab17k,771
722,train,ailab17k,870
723,train,ailab17k,989
724,train,ailab17k,775
725,train,ailab17k,1442
726,train,ailab17k,1420
727,train,ailab17k,2228
728,train,ailab17k,1976
729,train,ailab17k,2615
730,train,ailab17k,1393
731,train,ailab17k,1213
732,train,ailab17k,1397
733,train,ailab17k,1080
734,train,ailab17k,1643
735,train,ailab17k,2843
736,train,ailab17k,1199
737,train,ailab17k,133
738,train,ailab17k,2432
739,train,ailab17k,1739
740,train,ailab17k,2144
741,train,ailab17k,1927
742,train,ailab17k,595
743,train,ailab17k,2909
744,train,ailab17k,744
745,train,ailab17k,568
746,train,ailab17k,2099
747,train,ailab17k,1531
748,train,ailab17k,723
749,train,ailab17k,711
750,train,ailab17k,1348
751,train,ailab17k,1676
752,train,ailab17k,1624
753,train,ailab17k,165
754,train,ailab17k,1368
755,train,ailab17k,1481
756,train,ailab17k,3239
757,train,ailab17k,1531
758,train,ailab17k,2440
759,train,ailab17k,1693
760,train,ailab17k,2121
761,train,ailab17k,1813
762,train,ailab17k,1288
763,train,ailab17k,1459
764,train,ailab17k,1069
765,train,ailab17k,1796
766,train,ailab17k,1903
767,train,ailab17k,1025
768,train,ailab17k,1765
769,train,ailab17k,1193
770,train,ailab17k,1232
771,train,ailab17k,1165
772,train,ailab17k,1475
773,train,ailab17k,1291
774,train,ailab17k,2751
775,train,ailab17k,1388
776,train,ailab17k,507
777,train,ailab17k,1380
778,train,ailab17k,2095
779,train,ailab17k,1967
780,train,ailab17k,3293
781,train,ailab17k,1952
782,train,ailab17k,690
783,train,ailab17k,2089
784,train,ailab17k,1537
785,train,ailab17k,2061
786,train,ailab17k,859
787,train,ailab17k,2449
788,train,ailab17k,318
789,train,ailab17k,2061
790,train,ailab17k,1713
791,train,ailab17k,3617
792,train,ailab17k,1719
793,train,ailab17k,780
794,train,ailab17k,1653
795,train,ailab17k,911
796,train,ailab17k,1577
797,train,ailab17k,742
798,train,ailab17k,2057
799,train,ailab17k,1985
800,train,ailab17k,1979
801,train,ailab17k,1214
802,train,ailab17k,1580
803,train,ailab17k,1131
804,train,ailab17k,1524
805,train,ailab17k,2075
806,train,ailab17k,1970
807,train,ailab17k,1010
808,train,ailab17k,1635
809,train,ailab17k,724
810,train,ailab17k,2340
811,train,ailab17k,1554
812,train,ailab17k,891
813,train,ailab17k,1631
814,train,ailab17k,1214
815,train,ailab17k,1953
816,train,ailab17k,1806
817,train,ailab17k,1498
818,train,ailab17k,1011
819,train,ailab17k,2283
820,train,ailab17k,1003
821,train,ailab17k,143
822,train,ailab17k,2077
823,train,ailab17k,1237
824,train,ailab17k,2094
825,train,ailab17k,1502
826,train,ailab17k,2426
827,train,ailab17k,464
828,train,ailab17k,1459
829,train,ailab17k,971
830,train,ailab17k,1452
831,train,ailab17k,1380
832,train,ailab17k,2253
833,train,ailab17k,577
834,train,ailab17k,2559
835,train,ailab17k,1134
836,train,ailab17k,1804
837,train,ailab17k,1107
838,train,ailab17k,1273
839,train,ailab17k,1513
840,train,ailab17k,1729
841,train,ailab17k,134
842,train,ailab17k,3475
843,train,ailab17k,1466
844,train,ailab17k,655
845,train,ailab17k,1144
846,train,ailab17k,3543
847,train,ailab17k,1427
848,train,ailab17k,1832
849,train,ailab17k,1216
850,train,ailab17k,2348
851,train,ailab17k,1747
852,train,ailab17k,909
853,train,ailab17k,2362
854,train,ailab17k,1715
855,train,ailab17k,2434
856,train,ailab17k,1428
857,train,ailab17k,1832
858,train,ailab17k,1046
859,train,ailab17k,2332
860,train,ailab17k,1030
861,train,ailab17k,1614
862,train,ailab17k,1517
863,train,ailab17k,1276
864,train,ailab17k,235
865,train,ailab17k,1473
866,train,ailab17k,1393
867,train,ailab17k,1867
868,train,ailab17k,1314
869,train,ailab17k,1969
870,train,ailab17k,1811
871,train,ailab17k,1545
872,train,ailab17k,3267
873,train,ailab17k,1561
874,train,ailab17k,2010
875,train,ailab17k,1574
876,train,ailab17k,1543
877,train,ailab17k,2382
878,train,ailab17k,1407
879,train,ailab17k,157
880,train,ailab17k,1470
881,train,ailab17k,1601
882,train,ailab17k,1590
883,train,ailab17k,1529
884,train,ailab17k,1307
885,train,ailab17k,1370
886,train,ailab17k,1506
887,train,ailab17k,1228
888,train,ailab17k,1220
889,train,ailab17k,1548
890,train,ailab17k,1049
891,train,ailab17k,2007
892,train,ailab17k,951
893,train,ailab17k,3308
894,train,ailab17k,861
895,train,ailab17k,1720
896,train,ailab17k,1346
897,train,ailab17k,2621
898,train,ailab17k,734
899,train,ailab17k,1252
900,train,ailab17k,1703
901,train,ailab17k,1267
902,train,ailab17k,1538
903,train,ailab17k,2988
904,train,ailab17k,1544
905,train,ailab17k,1470
906,train,ailab17k,2658
907,train,ailab17k,1445
908,train,ailab17k,493
909,train,ailab17k,252
910,train,ailab17k,265
911,train,ailab17k,1962
912,train,ailab17k,2573
913,train,ailab17k,1619
914,train,ailab17k,1230
915,train,ailab17k,1646
916,train,ailab17k,1904
917,train,ailab17k,1124
918,train,ailab17k,2031
919,train,ailab17k,2128
920,train,ailab17k,1025
921,train,ailab17k,1098
922,train,ailab17k,1201
923,train,ailab17k,1435
924,train,ailab17k,2068
925,train,ailab17k,2580
926,train,ailab17k,1585
927,train,ailab17k,1115
928,train,ailab17k,1450
929,train,ailab17k,2357
930,train,ailab17k,2333
931,train,ailab17k,1054
932,train,ailab17k,1721
933,train,ailab17k,1881
934,train,ailab17k,2250
935,train,ailab17k,1793
936,train,ailab17k,671
937,train,ailab17k,1993
938,train,ailab17k,1704
939,train,ailab17k,2881
940,train,ailab17k,1886
941,train,ailab17k,1858
942,train,ailab17k,1364
943,train,ailab17k,1431
944,train,ailab17k,1461
945,train,ailab17k,2698
946,train,ailab17k,1406
947,train,ailab17k,374
948,train,ailab17k,2016
949,train,ailab17k,3455
950,train,ailab17k,994
951,train,ailab17k,1635
952,train,ailab17k,1360
953,train,ailab17k,2108
954,train,ailab17k,980
955,train,ailab17k,2655
956,train,ailab17k,888
957,train,ailab17k,517
958,train,ailab17k,1877
959,train,ailab17k,1242
960,train,ailab17k,1791
961,train,ailab17k,1017
962,train,ailab17k,3171
963,train,ailab17k,1976
964,train,ailab17k,1263
965,train,ailab17k,1959
966,train,ailab17k,2131
967,train,ailab17k,1871
968,train,ailab17k,2817
969,train,ailab17k,2641
970,train,ailab17k,1542
971,train,ailab17k,3193
972,train,ailab17k,848
973,train,ailab17k,1482
974,train,ailab17k,916
975,train,ailab17k,1707
976,train,ailab17k,1217
977,train,ailab17k,250
978,train,ailab17k,795
979,train,ailab17k,1182
980,train,ailab17k,1915
981,train,ailab17k,1892
982,train,ailab17k,1117
983,train,ailab17k,519
984,train,ailab17k,1645
985,train,ailab17k,859
986,train,ailab17k,1048
987,train,ailab17k,1642
988,train,ailab17k,1851
989,train,ailab17k,1446
990,train,ailab17k,2814
991,train,ailab17k,1680
992,train,ailab17k,1610
993,train,ailab17k,1913
994,train,ailab17k,1500
995,train,ailab17k,1047
996,train,ailab17k,1030
997,train,ailab17k,2045
998,train,ailab17k,2112
999,train,ailab17k,1451
1000,train,ailab17k,336
1001,train,ailab17k,1272
1002,train,ailab17k,1282
1003,train,ailab17k,2187
1004,train,ailab17k,2030
1005,train,ailab17k,2286
1006,train,ailab17k,1802
1007,train,ailab17k,240
1008,train,ailab17k,1362
1009,train,ailab17k,1518
1010,train,ailab17k,2544
1011,train,ailab17k,722
1012,train,ailab17k,241
1013,train,ailab17k,2139
1014,train,ailab17k,1918
1015,train,ailab17k,2100
1016,train,ailab17k,1347
1017,train,ailab17k,185
1018,train,ailab17k,1119
1019,train,ailab17k,417
1020,train,ailab17k,2347
1021,train,ailab17k,3326
1022,train,ailab17k,2542
1023,train,ailab17k,1692
1024,train,ailab17k,1226
1025,train,ailab17k,1311
1026,train,ailab17k,1703
1027,train,ailab17k,935
1028,train,ailab17k,2351
1029,train,ailab17k,2229
1030,train,ailab17k,1903
1031,train,ailab17k,1559
1032,train,ailab17k,2122
1033,train,ailab17k,1538
1034,train,ailab17k,1380
1035,train,ailab17k,1191
1036,train,ailab17k,1003
1037,train,ailab17k,2226
1038,train,ailab17k,3036
1039,train,ailab17k,749
1040,train,ailab17k,2409
1041,train,ailab17k,1677
1042,train,ailab17k,1706
1043,train,ailab17k,163
1044,train,ailab17k,2104
1045,train,ailab17k,721
1046,train,ailab17k,436
1047,train,ailab17k,2393
1048,train,ailab17k,1412
1049,train,ailab17k,1740
1050,train,ailab17k,1438
1051,train,ailab17k,2116
1052,train,ailab17k,1187
1053,train,ailab17k,1767
1054,train,ailab17k,2233
1055,train,ailab17k,1529
1056,train,ailab17k,2005
1057,train,ailab17k,921
1058,train,ailab17k,2063
1059,train,ailab17k,2364
1060,train,ailab17k,1432
1061,train,ailab17k,2267
1062,train,ailab17k,2191
1063,train,ailab17k,1426
1064,train,ailab17k,1470
1065,train,ailab17k,1635
1066,train,ailab17k,1395
1067,train,ailab17k,1800
1068,train,ailab17k,1076
1069,train,ailab17k,2355
1070,train,ailab17k,694
1071,train,ailab17k,2193
1072,train,ailab17k,1756
1073,train,ailab17k,1525
1074,train,ailab17k,865
1075,train,ailab17k,1712
1076,train,ailab17k,1223
1077,train,ailab17k,2477
1078,train,ailab17k,1852
1079,train,ailab17k,1916
1080,train,ailab17k,1312
